279
163268057/285708800,886357/17856800
254729727199104779/402262915301842400,0
31794565609/51969590400,0
194455487999/297635008775,0
997546127/1552983575,17367312/310596715
39164788109/51969590400,0
152141277/210769325,0
116481306413/156851341075,16963465889/1254810728600
6694293539/8661598400,0
118457627751/156851341075,13623531693/627405364300
5454579393/8168960800,0
18844962780361/26259495808000,2157046672873/34465588248000
65798358151/93783913600,71702607/1172298920
103099609/142854400,112401/1785680
16403519/19530875,30109712/410148375
268199083/310596715,117256144/1552983575
261425052999/297635008775,0
537549414582/657445721075,0
683947441/760489600,0
2767604145167/2914515468800,810591087/182157216800
496609/558025,8688/111605
1562885484261/1650130081600,0
12605545785268691/13243086824489600,0
129005026/135337475,0
19481423189/19999616000,746353319/8749832000
1,1105126733121513/55149655658932900
1,0
90674636747054898469/94934048011234806400,0
1,10445872/119253225
41166734359/51969590400,0
62423717689/77698120825,5453026096/77698120825
2426422223273/3168397089715,4102797433727/126735883588600
18717274084862827/25740265777408000,2142868626280651/33784098832848000
593079573/1169521925,0
527949241/970569600,0
235033/558025,20272/558025
387334006183/649107284800,0
26142154/58001775,0
362/32825,0
267421383701/419991936000,209378033/1249976000
2601419231/4037757295,6725739979/40377572950
359667/558025,810697/4464200
3433970066/5331928875,13065172823/85310862000
165023887583/264173610805,1540114338569/10566944432200
11052765529157/17171284702325,181913615133/1373702776186
92650151/94306225,17037245/30177992
7122901/7254325,15457653/29017300
3679384591/3714214400,127324191/232138400
1,1335199366390891/1898208814457800
1,44367149293/55073850650
3696656399/3714214400,7566595/9285536
1431327/1450865,46375477/58034600
258490026973/262454224175,296162037737/419926758680
257914221327/262454224175,608460264943/1049816896700
174632241/175554665,4081280673/7341376900
1,151967367/268771100
1,548054824072633/949104407228900
1,1212931619441063/2023128806572900
68132286532/69315075375,657672962761/1109041206000
219498318667793/223226701130225,548005899864369/892906804520900
1,174148664766760461/275169937079701300
22401155263/24142393600,703209361/1508899600
45669860027/48284787200,282244239/603559840
5058189/5547425,19395109/44379400
65305349039969/70978637184000,95472016077/211245944000
16506649843297/17744659296000,23207723681/52811486000
394671/426725,146721/341380
22499997887/24142393600,1057109513/1508899600
41471031231/48284787200,1715982187/3017799200
237198706637/262454224175,1077933397901/2099633793400
162201406686881/194872247581375,3937123581169291/8184634398417750
348009/426725,1673957/3413800
4682352/5547425,42120687/88758800
3122686243137/3569873388575,653377445811/1427949355430
10194243407/11411053225,120419622637/190875799400
65595946354529/70978637184000,145018037357/211245944000
877243019/877773325,12073984609/14682753800
1,1110028266063/1350562697900
1,442620359/537542200
244087/290173,17961737/58034600
484301/558025,729609/2232100
3191048177/3714214400,72216369/232138400
2920119457/4037757295,37594277761/161510291800
2852854789/3714214400,8242669/46427680
16727975031/20188786475,4866388271/16151029180
