247
207/800,183/1400
111/400,109/700
163/336,0
97/224,0
237/800,253/1400
63/200,36/175
111/200,9/350
111/200,0
361/672,0
267/800,323/1400
141/400,179/700
111/200,1163/11200
111/200,1451/22400
297/800,393/1400
39/100,107/350
111/200,1019/5600
111/200,3201/22400
327/800,463/1400
171/400,249/700
111/200,2913/11200
111/200,4951/22400
357/800,533/1400
93/200,71/175
111/200,947/2800
111/200,6701/22400
387/800,603/1400
201/400,319/700
111/200,4663/11200
111/200,8451/22400
417/800,673/1400
27/50,177/350
111/200,2769/5600
111/200,10201/22400
111/200,92/175
651/800,253/1400
2279/2800,379/2100
31931/39200,1777/9800
8639/9800,663/2450
159/200,36/175
621/800,323/1400
303/400,179/700
1,4901/11200
1,3/7
37181/39200,3527/9800
591/800,393/1400
18/25,107/350
1,361/700
1,10677/22400
561/800,463/1400
273/400,249/700
1,6651/11200
1,12427/22400
531/800,533/1400
129/200,71/175
1367/1400,229/350
5573/5600,881/1400
501/800,603/1400
243/400,319/700
2629/2800,493/700
5363/5600,951/1400
471/800,673/1400
57/100,177/350
631/700,132/175
5153/5600,1021/1400
3183/5600,761/1400
1779/2800,443/700
2419/2800,563/700
4943/5600,1091/1400
3933/5600,1011/1400
1077/1400,142/175
1157/1400,299/350
4733/5600,1161/1400
2279/2800,1829/2100
1,109/175
1,14177/22400
1,3763/5600
1,15927/22400
1,8401/11200
1,17677/22400
1,2319/2800
1,19427/22400
1,10151/11200
1,21177/22400
1,5513/5600
16273/16800,1
51/56,1
669/800,1261/1400
1,1
14653/19600,451/4900
5249/8400,0
9623/16800,0
26681/39200,27/9800
19/28,0
3791/5600,0
113989/140000,6313/35000
29521/35000,741/4375
122179/140000,5543/35000
63137/70000,2579/17500
1,2011/4928
130369/140000,4773/35000
4202/4375,1097/8750
1,71/308
1,3147/9856
138559/140000,4003/35000
1,181/1638
1,127/896
9343/13104,0
19561/26208,0
1979/2912,0
131/168,0
11093/13104,0
21311/26208,0
748/819,0
7687/8736,0
1,261/4928
1427/1456,0
24811/26208,0
1,0
8/21,0
6/25,37/350
177/800,113/1400
81/400,39/700
31/112,0
