209
311/1859,200/1859
249517/1267838,95465/633919
210983/600457,66855/600457
3229/9295,768/9295
15369069/39271375,15702708/39271375
21653189/55600831,21463590/55600831
39844897/108082260,1043177/2844270
3693/9295,4116/9295
597463/1965132,174565/568854
47744616/213154799,40545390/213154799
35330810747/141480611558,16108831315/70740305779
21696146503/60310501537,10357397805/60310501537
68082393/191538347,26964330/191538347
2838628131349/7309401856471,2764317604440/7309401856471
6368826806281/23183761888859,556699837340/2107614717169
6824507880313/18729346091027,3842771625780/18729346091027
43409/74360,927/18590
4903/9295,536/9295
635581/1133990,5451/51545
5743/9295,886/9295
385641/576290,272551/3169595
2252139/3002285,670653/3002285
6757/9295,2238/9295
175884289/196356875,10559348/196356875
22329587/25273105,13070634/278004155
92480279/108082260,255889/4912830
763578098/1065773995,82484196/1065773995
42197687/44792605,3558144/44792605
741173669/957691735,196853088/957691735
64703/74360,1605/3718
7771/9295,718/1859
1013127/1133990,42615/113399
8611/9295,788/1859
1,31228/58795
1,2116/5115
1,36442/102245
1,5622/9295
80628533/89585210,4224260/8958521
210851/232375,74168/232375
8627099051627/8953618807705,817676660924/8953618807705
1,2267/20328
1,285647576/957691735
2112883/3002285,155019/600457
815475197007/1210769107405,327507666484/1210769107405
59502947/87735505,24331764/87735505
651214293/957691735,52864524/191538347
918487/1133990,49713/113399
39359/46475,22472/46475
1,186458048/278004155
1,8776/11759
132401277737/158348867105,80362264744/158348867105
4586333/5725720,1306323/2862860
154745698/196356875,85899786/196356875
134514873/196356875,56414636/196356875
41183350133/60764166320,19297631/523829020
56717399/89585210,1927294/44792605
32037277396537/36547009282355,1578082133344/36547009282355
7693/9295,448/27885
3655723411792/5082193957555,157951390404/5082193957555
1993348289957/2283237742500,113011943/5462291250
309396671/326099829,0
301/319,0
926064448/1065773995,11027876/1065773995
1,1733823823224/32281731291491
1,0
20817879/39271375,6107978/39271375
13470051043/26783077750,2679077663/13391538875
7636018327/12684654125,242526067/746156125
123029809/196356875,60802738/196356875
184578644647/456647548500,7510554557/20756706750
2151938017514/4502895128875,1085528994048/4502895128875
176463343/438677525,17947316/39879775
333409017731/578035368625,1378963427544/4046247580375
1183112819/1570855000,100522726/196356875
141970223/196356875,91065586/196356875
16592624771/23955538750,6151257911/11977769375
142483743/196356875,110282476/196356875
5158753960637/5872837774375,4606062132184/5872837774375
825858954067/946243780625,805231192694/946243780625
125186593/196356875,141513676/196356875
24167753/39271375,29872796/39271375
13361/17138,1
280506643/326099829,1
1082851965727/1853412543125,1281036702314/1853412543125
258214431/447926050,14332161/20360275
520612739/589070625,141503666/196356875
1475369699409/1892487561250,524375433094/946243780625
19193299483129/20231237901875,2382538763854/2890176843125
1854142989238/2046770513125,17019982083226/22514475644375
1,94414478/104172277
1,1
526626908519/829607796875,419950139208/829607796875
13399800289/31732990575,15206184748/31732990575
211077556163/391628089775,147213773704/226732051975
65579795137/118446231475,1937603924/2888932475
41297164979/63423270625,1097873709/3730780625
1954706428687/2890176843125,5634559870988/20231237901875
18711024131/23955538750,498940311/1088888125
134380198611/165921559375,84438220952/165921559375
5540368473917/5872837774375,4367223511644/5872837774375
1,14023683/18320522
1,319061/412500
93729/272935,161853/3002285
213/1586,519/8723
6467171/39271375,381622/39271375
31971336/187395109,0
13198903/83222832,0
2026146517/19170717148,0
801/8569,0
1031/3069,0
324975149/957691735,23437038/957691735
619341/1133990,1371/566995
6200237751/11326354424,0
2394036/4189889,0
1077/1969,0
50448193/83222832,0
37960453481/57512151444,0
1155439348123/1631002214402,0
789/935,0
1124034/1292005,0
13554743/24799060,0
95994/176605,0
82697/204490,0
1569651/15011425,4213457/15011425
3681/46475,12392/46475
70563489/196356875,82823748/196356875
43868703/126365525,576916706/1390020775
69879820687/207567067500,23356037773/60085203750
21643423281/137069321675,20336695469/65554892975
89312703/684065525,1412988222/4788458675
62171987048253/182735046411775,75141626026096/182735046411775
87762586054161/468233652275675,152915740329652/468233652275675
0,477553/1006599
0,5158/11759
136689/5669950,1343149/2834975
0,55584094/104172277
0,229029/375287
832294647/12684654125,517130787/746156125
17709009/196356875,133067138/196356875
0,15616/23375
0,40730661/55481888
23365646691/578035368625,2868087012584/4046247580375
340546419/1570855000,172787126/196356875
36649423/196356875,163329986/196356875
3743487171/23955538750,10559386311/11977769375
37162943/196356875,182546876/196356875
20353/85690,1
291/1936,1
31483321/374790218,1
2313723/7925984,1
460287829009/1892487561250,872617576694/946243780625
81646528519/829607796875,725267229208/829607796875
0,7928926833642/9201274999961
0,1
48916286963/3446614685404,1
0,117397372/228719051
7278546579/63423270625,2470897309/3730780625
830248248683/6053845537025,3865509802356/6053845537025
62219343/438677525,283103476/438677525
404489573487/2890176843125,13080177796188/20231237901875
5861886531/23955538750,9896471821/11977769375
45384122611/165921559375,145501638952/165921559375
553933948049/1612541188742,1
161/418,1
237334999853/791744335525,693193682296/791744335525
7576017/28628600,11799647/14314300
49424898/196356875,158164186/196356875
29194073/196356875,128679036/196356875
0,9224/22517
3787/46475,21534/46475
382669/2881450,7195219/15847975
3208951/15011425,8877857/15011425
8857/46475,28294/46475
172538611/540411300,113516551/270205650
959621082/5328869975,2373582724/5328869975
103405611/435314425,2746541872/4788458675
11281/33800,74333/92950
13927/46475,35054/46475
2024419/5669950,2108719/2834975
18127/46475,36804/46475
2403/4510,1
27733/46035,1
26497/46475,35644/46475
246436103/438677525,309969406/438677525
160343/325325,1
22377/46475,138962/139425
162886601/447926050,188030676/223963025
89971/185900,1
86211/232375,159688/232375
2512671/15011425,9400067/15011425
687664841/4788458675,3083889532/4788458675
